step_id,question,possible_answer,tag,tag_definition
seller_q9,Is there anything that might make selling your home challenging for you right now?,No obstacles,seller_obstacle:none,The lead reports no major obstacles to selling
seller_q10,Would it be helpful if I prepared a free market analysis (CMA) of your home?,Yes,seller_engagement:cma_yes,The lead wants a comparative market analysis
seller_q10,Would it be helpful if I prepared a free market analysis (CMA) of your home?,No,seller_engagement:cma_no,The lead does not want a comparative market analysis
exploring_q2,"What’s your main interest right now — are you more curious about the market, neighborhoods, or just keeping an eye on things?",Market trends,exploring_interest:market,The lead is mainly interested in overall real estate market conditions
exploring_q2,"What’s your main interest right now — are you more curious about the market, neighborhoods, or just keeping an eye on things?",Neighborhoods,exploring_interest:neighborhoods,The lead is curious about local neighborhoods and communities
exploring_q2,"What’s your main interest right now — are you more curious about the market, neighborhoods, or just keeping an eye on things?",Just browsing,exploring_interest:just_browsing,The lead is casually looking with no clear intention yet
exploring_q3,"Do you think you might want to buy or sell in the future, or are you just learning for now?",Might buy later,exploring_future_intent:buyer_future,The lead may be interested in buying in the future
exploring_q3,"Do you think you might want to buy or sell in the future, or are you just learning for now?",Might sell later,exploring_future_intent:seller_future,The lead may be interested in selling in the future
exploring_q3,"Do you think you might want to buy or sell in the future, or are you just learning for now?",Just learning,exploring_future_intent:learning,The lead is only gathering information right now
exploring_q4,What timeframe do you think you might get more serious about making a move?,0–3 months,exploring_timeframe:0_3_months,The lead may become active in the next 3 months
exploring_q4,What timeframe do you think you might get more serious about making a move?,3–6 months,exploring_timeframe:3_6_months,The lead may become active in 3–6 months
exploring_q4,What timeframe do you think you might get more serious about making a move?,6–12 months,exploring_timeframe:6_12_months,The lead may become active in 6–12 months
exploring_q4,What timeframe do you think you might get more serious about making a move?,12+ months,exploring_timeframe:long_term,The lead may become active in a year or more
exploring_q4,What timeframe do you think you might get more serious about making a move?,Not sure,exploring_timeframe:unknown,The lead is unsure about their future real estate plans
exploring_appt_q1,Would a short strategy chat help you decide the right timing and whether buying or selling makes sense?,"Yes, strategy chat",appointment_intent:yes,Lead agrees to a general strategy conversation
exploring_appt_q1,Would a short strategy chat help you decide the right timing and whether buying or selling makes sense?,No,appointment_intent:no,Lead declines to set an appointment at this time
exploring_appt_q1,Would a short strategy chat help you decide the right timing and whether buying or selling makes sense?,"Maybe, send times",appointment_intent:maybe,Lead is open to an appointment but needs times/options
exploring_appt_flow_q2,"Do you prefer a phone call, video meeting, or in-person meeting?",Phone,appointment_mode:phone,Lead prefers phone call for the appointment
exploring_appt_flow_q2,"Do you prefer a phone call, video meeting, or in-person meeting?",Video,appointment_mode:video,Lead prefers video meeting for the appointment
exploring_appt_flow_q2,"Do you prefer a phone call, video meeting, or in-person meeting?",In person,appointment_mode:in_person,Lead prefers an in-person meeting
exploring_appt_flow_q3,What time of day generally works best for you?,Morning,appointment_time_pref:morning,Lead prefers morning time slots
exploring_appt_flow_q3,What time of day generally works best for you?,Afternoon,appointment_time_pref:afternoon,Lead prefers afternoon time slots
exploring_appt_flow_q3,What time of day generally works best for you?,Evening,appointment_time_pref:evening,Lead prefers evening time slots
exploring_appt_flow_q3,What time of day generally works best for you?,Weekend,appointment_time_pref:weekend,Lead prefers weekends
exploring_appt_flow_q4,Would you like me to text or email you a calendar link to book a time?,Text link,appointment_booking_method:text_link,Lead wants a booking link sent via SMS
exploring_appt_flow_q4,Would you like me to text or email you a calendar link to book a time?,Email link,appointment_booking_method:email_link,Lead wants a booking link sent via email
exploring_appt_flow_q4,Would you like me to text or email you a calendar link to book a time?,Share a few times,appointment_booking_method:manual_times,Lead prefers the agent to propose specific times
exploring_appt_flow_q5,"Great—do any of these work: Today PM, Tomorrow AM, or Tomorrow PM?",Today PM,appointment_candidate:today_pm,Lead is open to an appointment today afternoon/evening
exploring_appt_flow_q5,"Great—do any of these work: Today PM, Tomorrow AM, or Tomorrow PM?",Tomorrow AM,appointment_candidate:tomorrow_am,Lead is open to an appointment tomorrow morning
exploring_appt_flow_q5,"Great—do any of these work: Today PM, Tomorrow AM, or Tomorrow PM?",Tomorrow PM,appointment_candidate:tomorrow_pm,Lead is open to an appointment tomorrow afternoon/evening
exploring_appt_flow_q6,Perfect. I’ve locked that in—does this confirmation look right? (date/time summary),"Yes, confirmed",appointment_status:confirmed,Appointment date/time is confirmed by the lead
exploring_appt_flow_q6,Perfect. I’ve locked that in—does this confirmation look right? (date/time summary),Needs to reschedule,appointment_status:reschedule_requested,Lead asks to change the date/time
exploring_appt_flow_q6,Perfect. I’ve locked that in—does this confirmation look right? (date/time summary),Not confirmed,appointment_status:unconfirmed,Appointment not confirmed by the lead
exploring_q5,"A lot of my clients like staying updated on local events — things like festivals, new restaurants, and what’s happening around town. Would you like me to keep you in the loop on those too?",Yes,local_events_interest:yes,The lead wants to receive local community event updates
exploring_q5,"A lot of my clients like staying updated on local events — things like festivals, new restaurants, and what’s happening around town. Would you like me to keep you in the loop on those too?",No,local_events_interest:no,The lead does not want local community event updates
exploring_q6,Would it be helpful if I shared occasional market updates so you can see how things are changing?,Yes,exploring_engagement:market_updates_yes,The lead wants to receive market updates
exploring_q6,Would it be helpful if I shared occasional market updates so you can see how things are changing?,No,exploring_engagement:market_updates_no,The lead does not want market updates
dnc_q1,Understood. Would you like us to stop contacting you going forward?,"Yes, stop all contact",dnc_status:do_not_contact,Lead has requested no further contact via any channel
dnc_q1,Understood. Would you like us to stop contacting you going forward?,"No, reduce frequency",dnc_status:reduced_contact,Lead requests fewer messages instead of full DNC
dnc_q2,Which channels should we stop using for you?,Phone calls,dnc_channel:phone,Lead requests no phone calls
dnc_q2,Which channels should we stop using for you?,Text/SMS,dnc_channel:sms,Lead requests no text messages
dnc_q2,Which channels should we stop using for you?,Email,dnc_channel:email,Lead requests no emails
dnc_q2,Which channels should we stop using for you?,All channels,dnc_channel:all,Lead requests no contact via any channel
dnc_q3,Noted. Are you currently working with another agent?,"Yes, represented",representation_status:other_agent,Lead is already represented by another real estate agent
dnc_q3,Noted. Are you currently working with another agent?,No,representation_status:none,Lead is not represented by another agent
dnc_q4,Would you like to unsubscribe from marketing messages but still receive transaction-related updates if needed?,Unsubscribe marketing only,unsubscribe_scope:marketing_only,Lead opts out of marketing communications but allows transactional messages
dnc_q4,Would you like to unsubscribe from marketing messages but still receive transaction-related updates if needed?,Unsubscribe all,unsubscribe_scope:all,Lead opts out of all communications including transactional
dnc_q4,Would you like to unsubscribe from marketing messages but still receive transaction-related updates if needed?,Keep all,unsubscribe_scope:none,Lead keeps all communications
dnc_q5,"To comply with your request, may I log your consent preference now?","Yes, record preference",consent_logging:recorded,Consent/DNC preference recorded for compliance
dnc_q5,"To comply with your request, may I log your consent preference now?",No,consent_logging:not_recorded,Lead does not allow logging of consent/DNC preference
dnc_q6,Would you like a confirmation of your opt-out settings via SMS or email?,SMS confirmation,dnc_confirmation_channel:sms,Lead prefers SMS confirmation of DNC settings
dnc_q6,Would you like a confirmation of your opt-out settings via SMS or email?,Email confirmation,dnc_confirmation_channel:email,Lead prefers email confirmation of DNC settings
dnc_q6,Would you like a confirmation of your opt-out settings via SMS or email?,No confirmation needed,dnc_confirmation_channel:none,Lead does not need DNC confirmation message
dnc_q7,"Thank you for letting us know. For our records, can you share the main reason you’re opting out?",Too many messages,dnc_reason:frequency,Lead opts out due to message frequency
dnc_q7,"Thank you for letting us know. For our records, can you share the main reason you’re opting out?",Not interested,dnc_reason:not_interested,Lead opts out due to lack of interest
dnc_q7,"Thank you for letting us know. For our records, can you share the main reason you’re opting out?",Wrong person/number,dnc_reason:wrong_contact,Lead opts out because contact info is incorrect
dnc_q7,"Thank you for letting us know. For our records, can you share the main reason you’re opting out?",Already working with someone,dnc_reason:other_agent,Lead opts out because they already have an agent
dnc_q7,"Thank you for letting us know. For our records, can you share the main reason you’re opting out?",Other reason,dnc_reason:other,Lead opts out for another reason
dnc_status_tags,System action after DNC confirmation,Apply suppression to all selected channels,dnc_enforcement:active,DNC flags are active; lead should not be contacted on suppressed channels
dnc_status_tags,Legal compliance marker,Consent recorded with timestamp and source,compliance_audit:logged,Consent/DNC preferences captured for auditability
